State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,352,14,90
Florida,337,8,84
Ohio,307,9,49
South Carolina,233,3,39
Alabama,225,4,50
Georgia,214,4,42
California,193,7,54
North Carolina,171,7,45
Michigan,147,3,33
Pennsylvania,143,3,27
Washington,141,3,21
Louisiana,126,5,38
Indiana,108,4,34
Oregon,108,2,25
Utah,68,2,20
Iowa,68,2,19
Illinois,60,4,15
Arkansas,56,3,18
Arizona,55,2,19
Mississippi,52,4,38
Oklahoma,51,3,29
Tennessee,51,4,27
Colorado,51,2,12
Kansas,50,2,14
Wisconsin,46,1,14
Kentucky,41,3,22
Missouri,35,1,13
Minnesota,33,2,8
Virginia,25,5,20
Maryland,25,2,12
West Virginia,23,2,9
Massachusetts,22,3,9
New York,20,3,9
New Jersey,16,2,7
Nebraska,13,1,13
Connecticut,13,2,6
South Dakota,5,1,5
Idaho,3,1,3
Wyoming,2,1,2
Montana,2,2,2
New Hampshire,1,1,1
