State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,299,6,40
Ohio,279,3,30
Texas,244,10,43
Georgia,214,2,23
South Carolina,187,4,32
California,164,7,37
Indiana,160,4,24
Florida,145,6,34
Iowa,131,3,18
Oklahoma,122,3,27
Washington,118,2,11
Mississippi,116,4,18
Michigan,102,4,20
Pennsylvania,102,2,19
North Carolina,97,7,19
Louisiana,83,5,19
Virginia,74,3,16
Oregon,74,2,13
Arkansas,73,1,8
Kentucky,70,3,16
Nevada,52,1,5
Utah,49,3,8
Arizona,48,1,10
Minnesota,37,1,8
Massachusetts,35,1,6
Wisconsin,30,1,6
Illinois,29,2,5
Tennessee,27,4,12
Idaho,15,1,1
Colorado,13,2,3
Missouri,12,2,7
Maryland,12,2,6
New York,11,2,5
New Jersey,10,1,4
West Virginia,10,2,4
Connecticut,9,1,2
Nebraska,2,1,2
North Dakota,2,1,2
South Dakota,2,1,1
Wyoming,1,1,1
Hawaii,1,1,1
