State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,350,11,60
Ohio,284,5,33
Florida,200,7,55
Georgia,177,4,27
Michigan,162,4,22
Mississippi,144,3,19
Oregon,130,2,23
Alabama,125,5,23
Louisiana,123,4,19
California,116,9,30
South Carolina,116,4,25
Indiana,116,3,23
Iowa,112,3,18
Pennsylvania,109,3,20
Colorado,93,2,14
North Carolina,88,8,22
Kentucky,87,4,21
Missouri,71,2,10
Tennessee,69,3,19
Arizona,67,2,9
Virginia,64,5,20
Kansas,53,2,15
Minnesota,48,2,12
Arkansas,47,4,16
West Virginia,47,2,9
Massachusetts,46,3,8
Oklahoma,45,3,17
Idaho,42,1,4
Utah,34,3,16
Maryland,34,4,12
New York,33,2,10
Nebraska,26,1,9
North Dakota,25,1,1
New Jersey,24,1,9
Washington,19,3,9
Illinois,13,4,8
Wisconsin,13,1,5
Nevada,9,2,4
Connecticut,9,1,3
Delaware,6,1,2
Montana,2,1,2
Vermont,1,1,1
Canada,1,1,1
Washington DC,1,1,1
South Dakota,1,1,1
Wyoming,1,1,1
Hawaii,1,1,1
New Mexico,1,1,1
