State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,300,13,46
Alabama,263,6,28
Georgia,203,2,16
Ohio,189,4,24
California,172,8,34
Florida,154,7,24
South Carolina,152,4,18
Illinois,129,3,10
Pennsylvania,123,2,18
Iowa,115,3,14
Louisiana,106,4,24
Michigan,104,6,22
Tennessee,104,5,14
Indiana,99,4,17
Oregon,95,2,13
Utah,88,3,11
Kentucky,84,3,18
Oklahoma,82,4,17
North Carolina,77,9,25
Mississippi,70,4,19
Maryland,68,1,9
Kansas,64,3,8
New York,42,6,11
Wisconsin,41,1,6
Arkansas,38,2,8
Minnesota,37,2,6
Virginia,36,7,11
Washington,28,2,5
Massachusetts,27,1,3
North Dakota,27,1,3
West Virginia,19,3,8
South Dakota,15,1,1
Idaho,14,1,4
Nebraska,12,1,3
Missouri,11,2,5
New Jersey,10,2,5
Arizona,10,3,5
Colorado,2,2,2
Montana,1,1,1
Nevada,1,1,1
