State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,339,5,45
Texas,325,10,68
South Carolina,232,3,42
Florida,217,7,49
Georgia,206,3,25
Ohio,191,3,29
California,154,8,38
Pennsylvania,123,2,24
Indiana,120,3,20
Louisiana,116,4,23
North Carolina,109,6,29
Michigan,97,4,32
Utah,94,3,15
Oklahoma,88,3,28
Oregon,88,2,16
Mississippi,81,4,24
Iowa,77,2,18
Illinois,77,3,8
Kentucky,75,2,21
Kansas,72,3,7
Tennessee,70,5,14
Washington,58,2,13
Maryland,58,1,10
New York,55,2,6
Arkansas,52,3,12
Massachusetts,29,2,6
Minnesota,25,1,5
Virginia,23,5,12
Arizona,21,2,8
Wisconsin,20,1,9
Missouri,20,2,8
West Virginia,18,3,11
Idaho,16,1,2
Nebraska,15,1,6
South Dakota,13,1,2
North Dakota,9,1,3
New Jersey,5,2,5
Nevada,2,1,2
Wyoming,1,1,1
Montana,1,1,1
Colorado,1,1,1
